Player,IP,BF,ERA,FIP,WHIP,K%,BB%,GB%,FB%,SO/BB,WAR,HR9,Whiff%,Swing%,PutAway%,League
David Bednar,62.2,251,2.3,2.18,1.037,34.3,7.6,44.1,22.8,4.53,2.2,0.6,,,,MLB
Andrés Muñoz,62.1,254,1.73,2.43,1.027,32.7,11.0,50.0,21.7,2.96,2.4,0.3,,,,MLB
Matt Strahm*,62.1,256,2.74,2.99,1.075,27.3,7.8,20.1,36.0,3.5,2.0,0.7,,,,MLB
Gabe Speier*,62.0,243,2.61,2.31,0.871,33.7,4.5,39.3,35.2,7.45,1.4,0.7,,,,MLB
Devin Williams,62.0,259,4.79,2.68,1.129,34.7,9.7,44.3,25.7,3.6,-0.3,0.7,,,,MLB
Brock Burke*,61.2,257,3.36,4.16,1.232,20.2,7.0,48.9,24.5,2.89,1.5,1.2,,,,MLB
Cole Ragans*,61.2,257,4.67,2.5,1.184,38.1,7.8,36.5,27.0,4.9,0.2,1.0,,,,MLB
Mason Miller,61.2,234,2.63,2.23,0.908,44.4,12.0,39.6,27.7,3.71,2.1,0.7,,,,MLB
Aroldis Chapman*,61.1,228,1.17,1.73,0.701,37.3,6.6,38.3,28.1,5.67,3.5,0.4,,,,MLB
Garrett Cleavinger*,61.1,243,2.35,3.59,0.946,33.7,7.4,44.9,27.9,4.56,1.9,1.3,,,,MLB
Lucas Erceg,61.1,249,2.64,3.49,1.174,19.3,7.2,51.4,19.0,2.67,1.5,0.6,,,,MLB
Juan Mejia,61.1,261,3.96,3.71,1.255,26.1,9.6,38.3,27.2,2.72,0.6,0.9,,,,MLB
Blake Snell*,61.1,254,2.35,2.7,1.255,28.3,10.2,47.4,17.9,2.77,1.3,0.4,,,,MLB
Ryan Walker,61.1,266,4.11,3.3,1.272,22.6,6.8,48.3,18.9,3.33,0.1,0.6,,,,MLB
Phil Maton,61.1,248,2.79,2.6,1.06,32.7,9.3,44.5,19.7,3.52,1.3,0.4,,,,MLB
